state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AL,Birmingham Post,100103,1924,PRESIDENT,,,AL,"LA FOLLETTE, ROBERT M.",Progressive,1,,,,SENATOR LA FOLLETTE PROPOSES A HOUSE CLEANING AT WASHINGTON THAT WILL SWEEP OUT SPECIAL PRIVILEGES AND RESTORE THE GOVERNMENT TO THE PEOPLE; IF THE PEOPLE WANT THEIR GOVERNMENT BACK HERE IS THEIR CHANCE,0.85
AL,Birmingham Post,100103,1928,PRESIDENT,,,AL,"HOOVER, HERBERT",Republican,1,,,,EXPLICIT EDITORIAL ENDORSEMENT: 'WE BELIEVE HOOVER SHOULD BE ELECTED',0.95
AL,Birmingham Post,100103,1930,GOVERNOR,,,AL,"MILLER, BENJAMIN M.",Democrat,1,,,,EXPLICIT ENDORSEMENT: 'THE POST NOW RECOMMENDS THE ELECTION OF JUDGE MILLER AS THE NEXT GOVERNOR OF ALABAMA',0.95
AL,Birmingham Post,100103,1932,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,IMPLICIT ENDORSEMENT: EDITORIAL ARGUES ROOSEVELT 'OFFERS A BETTER CHANCE FOR GOOD TIMES AND GOOD GOVERNMENT' AND THAT DEMOCRATIC VICTORY LIKELY AND DESIRABLE,0.85
AL,Birmingham Post,100103,1934,JUDGE,,Jefferson Circuit Court,AL,"GRIFFITH, C. J.",Independent,0,,,,"PAPER WITHDREW EARLIER PRIMARY ENDORSEMENT AFTER GRIFFITH BECAME INVOLVED IN HANDLING BONDS STOLEN IN TENNESSEE BANK ROBBERY; INDICTED ON FEDERAL CHARGES; DISBARRED FROM FEDERAL COURT; WE CAN NOT AFFORD TO TAKE A CHANCE; RECORD OF A JUDGE SHOULD BE BEYOND REPROACH ROUND 8 DIST/DNAME SWAP FIX: WAS dist=Jefferson, dname=CIRCUIT COURT (reversed). PER SKILL CONVENTION dist=number/letter, dname=county/jurisdiction. Set dist=empty (no Place number in OCR), dname=Jefferson Circuit Court.",0.95
AL,Birmingham Post,100103,1936,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,1,,,"EDITORIAL ARGUES FOR VOTING FOR ROOSEVELT, ASKING 'HOW DO WE REWARD THE LEADER?' AND STATING 'ONE FAIR ANSWER: VOTE FOR ROOSEVELT'",0.95
AL,Birmingham Post,100103,1940,VICE PRESIDENT,,,AL,"MCNARY, CHARLES",Republican,1,,,,EDITORIAL EXPLICITLY STATES 'WE'RE VOTING FOR WILLKIE AND MCNARY' AND PRAISES HIS EXPERIENCE AND PROGRESSIVE REPUBLICAN CREDENTIALS,0.95
AL,Birmingham Post,100103,1940,PRESIDENT,,,AL,"WILLKIE, WENDELL",Republican,1,,,,EDITORIAL EXPLICITLY STATES 'WE'RE VOTING FOR WILLKIE AND MCNARY',0.95
AL,Birmingham Post,100103,1944,PRESIDENT,,,AL,"DEWEY, THOMAS E.",Republican,1,,,,A BETTER WAR LEADER; DEWEY AN ABLE EXECUTIVE COULD BRING ORDER OUT OF CONFUSION AND PUT NEW DRIVE INTO WAR-WEARY WASHINGTON; DEWEY IN THE WHITE HOUSE COULD GET ON WITH THE JOB; ROOSEVELT HAS NOTHING NEW TO GIVE,0.85
AL,Birmingham Post,100103,1928,PRESIDENT,,,AL,"SMITH, ALFRED E.",Democrat,0,,,,"ROUND 1 PATTERN A ADD: OCR 1928-11-05 EXPLICIT ""AS BETWEEN SMITH AND HOOVER, WE FELT 10 MONTHS AGO AS WE FEEL NOW, THAT HOOVER IS THE [BEST]."" PAPER COMPARED CANDIDATES AND ENDORSED HOOVER (R).",0.9
AL,Birmingham Post,100103,1932,PRESIDENT,,,AL,"HOOVER, HERBERT",Republican,0,,1,,"ROUND 1 PATTERN A ADD: OCR 1932-11-07 EXPLICIT ""ADMINISTRATION OF PRESIDENT HOOVER. THE CAMPAIGN HAS BEEN UNPLEASANT"" + ENDORSEMENT OF FDR. HOOVER WAS R INCUMBENT.",0.9
AL,Birmingham Post,100103,1944,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,0,1,,,"ROUND 1 PATTERN A ADD: OCR 1944-11-06 EXPLICIT ""ROOSEVELT'S DOMESTIC RECORD BECOMES A COMPLAINT AGAINST [HIM]... ROOSEVELT HAS SHOWN HIMSELF UNABLE..."" + DEWEY ENDORSEMENT. FDR WAS D INCUMBENT.",0.9
