filename,reason,type
128401_19221107,"OCR EXTRACTED ONLY MASTHEAD/PAGE HEADER; EDITORIAL CONTENT NOT CAPTURED CLEANLY. CLIPPING DATED ELECTION DAY NOV 7, 1922.",no_endorsements
128401_19281102,OCR EXTRACTED ONLY MASTHEAD; ENDORSEMENT EDITORIAL CONTENT NOT CLEANLY CAPTURED.,no_endorsements
128401_19301029,OCR EXTRACTED ONLY MASTHEAD.,no_endorsements
128401_19301101,OCR EXTRACTED ONLY MASTHEAD.,no_endorsements
128401_19301102,OCR FRAGMENT 'THIS MAN WHO HAS OPPOSED SO MANY HELP-' SUGGESTS OPPOSITION EDITORIAL BUT CANDIDATE NOT IDENTIFIABLE FROM CAPTURED TEXT.,no_endorsements
128401_19321107,OCR EXTRACTED ONLY MASTHEAD; ELECTION DAY EDITION.,no_endorsements
128401_19361102,GENERIC 'FINAL ELECTION WORD' EDITORIAL URGING VOTERS TO VOTE FOR CANDIDATES RATHER THAN PARTIES; NO SPECIFIC CANDIDATE ENDORSEMENTS IN CAPTURED TEXT.,no_endorsements
128401_19381107,'FORGET PARTY LINES' EDITORIAL URGING INDEPENDENT VOTING; NO SPECIFIC CANDIDATES ENDORSED IN CAPTURED TEXT.,no_endorsements
128401_19401104,'COUNTY ADMINISTRATION' GENERIC EDITORIAL URGING VOTERS TO JUDGE COUNTY CANDIDATES INDIVIDUALLY; NO SPECIFIC CANDIDATES NAMED IN CAPTURED TEXT.,no_endorsements
128401_19461105,OCR YIELDED NO READABLE TEXT FROM CAPTURED IMAGE.,no_endorsements
128401_19481102,'PLAN NOW TO VOTE' GENERIC GET-OUT-THE-VOTE EDITORIAL; NO SPECIFIC CANDIDATE ENDORSEMENTS IN CAPTURED TEXT.,no_endorsements
128401_19541026,"STATE PRESS COMMENT NEWS ABOUT TOM MONTOYA / JOE MONTOYA INCIDENT; NEWS COMMENTARY, NOT EDITORIAL ENDORSEMENT.",no_endorsements
128401_19541027,"STATE PRESS COMMENT — MORE NEWS COMMENTARY ON MONTOYA AFFAIR, NOT EDITORIAL ENDORSEMENT.",no_endorsements
128401_19581028,HIGHWAY BOARD TOP ISSUE — POLICY EDITORIAL ABOUT STATE HIGHWAY COMMISSION VACANCIES; CRITICIZES 1957 STATE SENATE'S CONTROL BUT NO SPECIFIC CANDIDATE ENDORSEMENTS IN CAPTURED TEXT.,no_endorsements
128401_19701102_2,DUPLICATE OF 19701102 LEGISLATIVE CHOICES; SAME CONTENT FROM SECOND COPY OF SAME EDITORIAL.,no_endorsements
128401_19721105_2,DUPLICATE OF 19721105 'CHOICES REPEATED' EDITORIAL; SAME CONTENT.,no_endorsements
128401_19741103_1,DUPLICATE OF 19741103 SKEEN ENDORSEMENT (PNG VERSION OF SAME EDITORIAL).,no_endorsements
128401_19761031,JOURNAL RECOMMENDATIONS TABLE; OCR YIELDED MOSTLY UNREADABLE GARBLED TEXT FROM TABULAR LAYOUT. UNABLE TO RELIABLY EXTRACT CANDIDATE NAMES OR ENDORSEMENT POSITIONS.,no_endorsements
128401_19801019_2,OCR TABULAR LAYOUT YIELDED UNREADABLE GARBLED TEXT.,no_endorsements
128401_19801025_8,OCR YIELDED MOSTLY UNREADABLE TEXT.,no_endorsements
128401_19801027_6,OCR DEGRADED; UNABLE TO RELIABLY EXTRACT CONTENT.,no_endorsements
128401_19901104,OCR HEAVILY DEGRADED — ONLY 'EDITORIALS / JOURNAL ENDORSEMENTS' HEADER AND ILLEGIBLE FRAGMENTS RECOVERED. CLIPPING IS THE NOV 4 1990 ENDORSEMENT WRAP-UP BUT BODY TEXT NOT RECOVERABLE.,no_endorsements
128401_19921026,DAILY EDITORIAL FOR COUNTY RACES; ALL ENDORSEMENTS CONSOLIDATED INTO 19921101 WRAP-UP JSON.,no_endorsements
128401_19921027,DAILY EDITORIAL FOR JUDICIAL RACES; ALL ENDORSEMENTS CONSOLIDATED INTO 19921101 WRAP-UP JSON.,no_endorsements
128401_19921028,DAILY EDITORIAL FOR BOND ISSUES; ALL ENDORSEMENTS CONSOLIDATED INTO 19921101 WRAP-UP JSON.,no_endorsements
128401_19921029,OCR FAILED ON THIS DAILY EDITORIAL; ANY ENDORSEMENTS WOULD BE IN 19921101 WRAP-UP.,no_endorsements
128401_19941022,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941023,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941024,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941025,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941026,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941027,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941028,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941029,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941030,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941031,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941101,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_19941102,DAILY EDITORIAL FOR 1994 ELECTION; ENDORSEMENTS CONSOLIDATED INTO 19941106 WRAP-UP JSON.,no_endorsements
128401_20041018,OCR CONTAINS ONLY MASTHEAD/CLIPPING METADATA ('ALBUQUERQUE JOURNAL OCT 18 2004'); NO ENDORSEMENT BODY TEXT RECOVERED.,no_endorsements
