state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AL,Birmingham Post,100103,1922,AL,AMENDMENT,1,PORT IMPROVEMENT AMENDMENT FOR BIRMINGHAM PORT FACILITIES DEVELOPMENT,1,ENDORSES PORT AMENDMENT FOR BIRMINGHAM PORT FACILITIES DEVELOPMENT TO BOOST EXPORT TRADE CAPABILITIES ROUND 7 PROP_NUM FILL: Set to #1 (Talladega Tax is #2 in data; Port was likely Amendment #1 on 1922 AL ballot).,0.9
AL,Birmingham Post,100103,1922,AL,AMENDMENT,2,TALLADEGA TAX AMENDMENT - PERMIT TALLADEGA TO INCREASE TAXES FOR WATER SUPPLY,1,IT IS CERTAINLY RIGHT AND PROPER THAT IT SHOULD BE PASSED SO THAT TALLADEGANS WILL BE PLACED IN A POSITION TO SOLVE THEIR OWN WATER TROUBLES,0.9
AL,Birmingham Post,100103,1924,AL,BOND,,HILLMAN HOSPITAL $500000 BOND ISSUE,1,THE POST BELIEVES THAT THE $500000 BOND ISSUE FOR HILLMAN HOSPITAL IS THE MOST WORTHY THAT HAS COME BEFORE THE VOTERS FOR YEARS; PRESSING MEDICAL NEEDS AND HOSPITAL OVERCROWDING,0.95
AL,Birmingham Post,100103,1924,AL,BOND,,$1500000 COURTHOUSE BOND ISSUE,0,OPPOSES COURTHOUSE BONDS DUE TO LACK OF SUPPORTING DATA DETAILED PLANS AND PROPER JUSTIFICATION; BONDS WITHOUT FACTS,0.95
AL,Birmingham Post,100103,1924,AL,BOND,,$500000 COUNTY SCHOOL BOND ISSUE,1,THIS PAPER ALSO BELIEVES THAT THE $500000 COUNTY SCHOOL BOND ISSUE SHOULD BE PASSED; COUNTY SCHOOL BOARDS EXCELLENT RECORD IS THE BEST RECOMMENDATION,0.95
AL,Birmingham Post,100103,1926,AL,TAX,,THREE-MILL SCHOOL TAX CONTINUATION,1,IT IS VITAL NOT ONLY TO FAVOR IT BUT ALSO ACTUALLY TO VOTE FOR IT TO ENSURE IT RECEIVES MAJORITY VOTE,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,1,SYLACAUGA DEBT LIMIT - FIX DEBT LIMIT AT 5 PERCENT OF ASSESSED VALUATION AND EXCLUDE REVENUE ANTICIPATION LOANS AND BONDS FOR SEWERS WATER WORKS ELECTRIC LIGHT GAS SEWAGE PLANTS AND STREET IMPROVEMENTS,1,WE BELIEVE THE AMENDMENT OUGHT TO BE VOTED; FIGURE GENERALLY AGREED ON AS THE MAXIMUM INDEBTEDNESS FOR A MUNICIPALITY IS 10 PER CENT,0.9
AL,Birmingham Post,100103,1932,AL,AMENDMENT,2,LEGISLATIVE APPORTIONMENT - INCREASE STATE SENATE FROM 35 TO 67 MEMBERS,0,THIS WOULD BE AN EXPENSIVE CHANGE AND WOULD AGGRAVATE RATHER THAN CORRECT THE PRESENT UNFAIR APPORTIONMENT OF LEGISLATIVE REPRESENTATION; THIS AMENDMENT SHOULD BE DEFEATED,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,3,PERMIT SHERIFFS TO SUCCEED THEMSELVES IN OFFICE,1,IF THE PEOPLE WANT TO RE-ELECT A SHERIFF THEY SHOULD HAVE THE RIGHT TO DO SO; THIS AMENDMENT SHOULD BE APPROVED,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,4,ALLOW TOWNS OF 1000 TO 5000 POPULATION TO CONTRACT INDEBTEDNESS UP TO 8 PERCENT OF ASSESSED VALUATION AND EXCLUDE REVENUE ANTICIPATION LOANS AND BONDS FOR WATER WORKS ELECTRIC LIGHT GAS SEWAGE PLANTS AND STREET IMPROVEMENTS,1,WILL PERMIT CITIES TO BORROW FROM RECONSTRUCTION FINANCE CORP; WORK IS NEEDED TO GIVE JOBS TO UNEMPLOYED; NECESSARY TO PUT ALABAMA CITIES ON EVEN FOOTING WITH OTHER STATES IN TAKING ADVANTAGE OF RFC LOAN FACILITIES,0.9
