state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
TN,Chattanooga News,143903,1922,GOVERNOR,,,TN,"PEAY, AUSTIN",Democrat,1,,,,ENDORSED OVER INCUMBENT TAYLOR; 'FINEST EXHIBITION OF COURAGE IN OUR POLITICAL HISTORY'.,0.9,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,GOVERNOR,,,TN,"TAYLOR, ALF",Republican,0,,1,,INCUMBENT; PAPER OPPOSES; 'ASKS DEMOCRATS WHO TRIED HIM OUT ONCE TO REPEAT THE EXPERIMENT'.,0.9,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,SENATOR,,,TN,"MCKELLAR, KENNETH D.",Democrat,1,1,,,INCUMBENT; 'EXCELLENT RECORD ENTITLES HIM TO RE-ELECTION'; HELPED SECURE MUSCLE SHOALS WORK.,0.9,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,SENATOR,,,TN,SANDERS,Republican,0,,,,"OPPONENT TO MCKELLAR; 'HIGHEST REGARD FOR MR. SANDERS, OUR FELLOW TOWNSMAN' BUT PAPER FAVORS MCKELLAR ON NATIONAL ISSUES.",0.85,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,RAILROAD COMMISSION,,,TN,DUNLAP,Democrat,1,,,,'MADE A GOOD STATE TREASURER AND IS WELL QUALIFIED FOR A PLACE ON THE RAILROAD COMMISSION'.,0.85,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,,,,'SOUND ON ALL THE ISSUES; HAS MADE A GREAT JUDGE; WILL BE AN ABLE AND CONSCIENTIOUS CONGRESSMAN'.,0.9,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,STATE SENATOR,,,TN,"BASS, EUGENE",Democrat,1,,,,HAMILTON COUNTY STATE SENATE; 'MAJ. BASS IS BELOVED BY THE COMMUNITY. HE IS AN ESTIMABLE CITIZEN'.,0.85,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,STATE REP,,,TN,"BRYAN, W. J.",Democrat,1,,,,HAMILTON COUNTY LEGISLATIVE DELEGATION; ENDORSED.,0.8,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1922,STATE REP,,,TN,"GRUBB, W. FRENCH",Democrat,1,,,,HAMILTON COUNTY LEGISLATIVE DELEGATION; 'SO IS MR. GRUBB' (ESTIMABLE CITIZEN).,0.8,,,,,pdf,,143903_19221107,
TN,Chattanooga News,143903,1926,GOVERNOR,,,TN,"WHITE, WALTER",Republican,0,,,,"Party fix: was D in extraction; OCR clearly shows R challenger (""candidate who can endorse such a moldy party administration as J. Will Taylor over the Tennessee G.O.P."")",0.7,Heavy OCR degradation; paper opposed White but did not clearly state who it endorsed.,,,,pdf,,143903_19261102,Low confidence (0.70)
TN,Chattanooga News,143903,1930,SENATOR,,,TN,"HULL, CORDELL",Democrat,1,,,,"1930 LONG TERM (Class 1 seat, 1931-1937): ""Cordell Hull, who will be elected to the Senate on Tuesday... his Democracy is firmly founded on Jeffersonian principles""",0.92,,,,,pdf,,143903_19301104,
TN,Chattanooga News,143903,1930,SENATOR,,,TN,"BROCK, WILLIAM EMERSON",Democrat,1,1,,,"1930 SHORT TERM (finishing Tyson seat, expired Mar 1931): ""election of Senator Brock for the short term than to Judge Hull for the long term"" — Brock was D incumbent appointee since Sep 1929",0.85,,,,,pdf,,143903_19301104,
TN,Chattanooga News,143903,1930,GOVERNOR,,,TN,"HORTON, HENRY",Democrat,1,1,,,INCUMBENT; PAPER PREFERS CONTINUED HORTON ADMINISTRATION TO BRUCE 'TAYLOR-SPONSORED' ALTERNATIVE; SUPPORT IS RELUCTANT.,0.78,,,,,pdf,,143903_19301104,
TN,Chattanooga News,143903,1930,GOVERNOR,,,TN,"BRUCE, ARTHUR",Republican,0,,,,OPPOSED; 'PERSONABLE MAN' BUT 'UNDER THE AEGIS OF J. WILL TAYLOR'; 'NO CANDIDATE CAN ACCEPT TAYLOR SPONSORSHIP WITHOUT FORFEITING THE ESTEEM OF THE PEOPLE'.,0.85,,,,,pdf,,143903_19301104,
TN,Chattanooga News,143903,1932,PRESIDENT,,,TN,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,"'WITH MR. FRANKLIN D. ROOSEVELT'S ELECTION PRACTICALLY ASSURED, THE UNITED STATES MAKES A DEFINITE MARCH TOWARD A MORE ENLIGHTENED LIBERALISM IN GOVERNMENT'.",0.85,Implied endorsement; FDR's election described as 'practically assured' and welcomed.,,,,pdf,,143903_19321108,
TN,Chattanooga News,143903,1932,PRESIDENT,,,TN,"HOOVER, HERBERT",Republican,0,,1,,INCUMBENT; OPPOSED; PAPER CRITICIZES HOOVER ADMINISTRATION FOR 'WATCHFUL WAITING' DURING ECONOMIC CRISIS.,0.8,Implied opposition based on critique of Hoover administration record.,,,,pdf,,143903_19321108,
TN,Chattanooga News,143903,1934,SENATOR,,,TN,"MCKELLAR, KENNETH D.",Democrat,1,1,,,'VETERAN SENATOR... HAS EVERY REASON TO EXPECT A STRONG VOTE OF CONFIDENCE'.,0.92,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1934,SENATOR,,,TN,"HOOPER, BEN W.",Republican,0,,,,OPPONENT; 'IT DOES NOT SEEM REMOTELY IN THE CARDS FOR EITHER OF THEM TO BE SERIOUSLY THREATENED BY THE FUSION TICKET'.,0.88,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1934,SENATOR,,,TN,"BACHMAN, NATHAN L.",Democrat,1,1,,,SHORT-TERM SENATE SEAT; PAPER EXPECTS 'STRONG VOTE OF CONFIDENCE'.,0.9,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1934,GOVERNOR,,,TN,"MCALISTER, HILL",Democrat,1,1,,,INCUMBENT; PAPER EXPECTS 'STRONG VOTE OF CONFIDENCE'; FUSION OPPOSITION (LEWIS POPE) FAILED TO INTEREST VOTERS.,0.9,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1934,GOVERNOR,,,TN,"POPE, LEWIS",Independent,0,,,,FUSION TICKET OPPONENT TO MCALISTER; 'HAS FAILED TO INTEREST THE VOTERS'.,0.8,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1934,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,1,,,'CONGRESSMAN MCREYNOLDS IN OUR OWN DISTRICT... HAS EVERY REASON TO EXPECT A STRONG VOTE OF CONFIDENCE'.,0.92,,,,,pdf,,143903_19341106,
TN,Chattanooga News,143903,1936,PRESIDENT,,,TN,"ROOSEVELT, FRANKLIN D.",Democrat,1,1,,,IMPLIED ENDORSEMENT; PAPER PREDICTS LANDSLIDE; PAPER CRITICAL OF LANDON CAMPAIGN.,0.78,Implied endorsement; explicit support not stated but paper clearly preferred FDR; criticized Republican spending and 'hate Roosevelt' campaign.,,,,pdf,,143903_19361103,
TN,Chattanooga News,143903,1936,PRESIDENT,,,TN,"LANDON, ALFRED M.",Republican,0,,,,OPPOSED BY IMPLICATION; 'INCONSISTENT... INEPT POLITICIAN... AT HEART A NEW DEALER'.,0.8,,,,,pdf,,143903_19361103,
TN,Chattanooga News,143903,1936,GOVERNOR,,,TN,"BROWNING, GORDON",Democrat,1,,,,'THE DEMOCRATIC STATE TICKET WILL WIN... WITHOUT MUCH DIFFICULTY'; BROWNING SPEAKING AT MEMORIAL AUDITORIUM RALLY.,0.92,,,,,pdf,,143903_19361103,
TN,Chattanooga News,143903,1936,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,1,,,'CONGRESSMAN MCREYNOLDS HAS BEEN SO TAME THAT HAS HARDLY INTERESTED THE MEN'; ENDORSED ALONGSIDE OTHER DEMOCRATS.,0.78,Endorsement implicit through paper's general support of Democratic ticket; OCR notes Republican opposition collapsed.,,,,pdf,,143903_19361103,
TN,Chattanooga News,143903,1936,H,2,,TN,"TAYLOR, J. WILL",Republican,0,,1,,REPUBLICAN INCUMBENT IN 2ND DISTRICT; PAPER NOTES REPUBLICAN MONEY POURED INTO HIS DISTRICT 'IN AN ATTEMPT TO SAVE J. WILL TAYLOR'.,0.78,Paper opposed implicitly by criticizing GOP support for Taylor.,,,,pdf,,143903_19361103,
TN,Chattanooga News,143903,1938,GOVERNOR,,,TN,"COOPER, PRENTICE",Democrat,1,,,,"'PROMISES US A NEW DEAL IN STATE AFFAIRS'; PAPER BELIEVES 'IF ELECTED, AS WE FEEL CERTAIN THEY WILL BE, THESE MEN WILL ACQUIT THEMSELVES WELL IN OFFICE'.",0.92,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,GOVERNOR,,,TN,"BAKER, HOWARD",Republican,0,,,,OPPOSED; ON REPUBLICAN SLATE.,0.85,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,SENATOR,,,TN,"STEWART, TOM",Democrat,1,,,,'WILL MAKE A GOOD SENATOR'.,0.92,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,SENATOR,,,TN,"FOWLER, HARLEY",Republican,0,,,,OPPOSED; ON REPUBLICAN SLATE.,0.85,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,RAILROAD COMMISSION,,,TN,"HUDSON, W. D.",Democrat,1,,,,'IS A LIBERAL AND WILL WORK FOR THE PEOPLE ON THE UTILITIES COMMISSION'.,0.92,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,RAILROAD COMMISSION,,,TN,"PRITCHETT, JOHN",Republican,0,,,,OPPOSED; ON REPUBLICAN SLATE.,0.85,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,H,1,,TN,"REECE, B. CARROLL",Republican,0,,1,,REPUBLICAN INCUMBENT; PAPER ACKNOWLEDGES HE WILL BE REELECTED BUT FAVORS NEW DEAL DEMOCRATS NATIONALLY.,0.75,Paper acknowledges Reece will win but does not endorse him; paper supports Democrats.,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,H,2,,TN,"TAYLOR, J. WILL",Republican,0,,1,,REPUBLICAN INCUMBENT; PAPER ACKNOWLEDGES HE WILL BE REELECTED BUT FAVORS NEW DEAL.,0.75,Paper acknowledges Taylor will win but does not endorse; paper supports Democrats.,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,H,5,,TN,"BYRNS, JOSEPH W.",Democrat,1,,,,'NEW FACE... HAS PLEDGED SUPPORT TO THE NATIONAL ADMINISTRATION'.,0.9,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1938,H,4,,TN,"GORE, ALBERT",Democrat,1,,,,'NEW FACE... HAS PLEDGED SUPPORT TO THE NATIONAL ADMINISTRATION'.,0.92,,,,,pdf,,143903_19381108,
TN,Chattanooga News,143903,1926,GOVERNOR,,,TN,"PEAY, AUSTIN",Democrat,1,1,,,"Paper supported incumbent Peay D (""Gov. Peay... is assured"" per OCR)",0.85,,,,,,,,
TN,Chattanooga News,143903,1936,RAILROAD COMMISSION,,,TN,"HANSON JR., LEO",Democrat,1,,,,"Paper supported: ""Mr. Leo Hanson, Jr. ... has been the target of much unfair abuse from utility minded people. He should... win the seat on the State Public Utilities Commission""",0.85,,,,,,,,
TN,Chattanooga News,143903,1936,H,1,,TN,"REECE, B. CARROLL",Republican,0,,1,,"Paper opposed: ""In the First and Second Districts, Congressmen Reece and Taylor, Republicans, have bitter contests on their hands and the defeat of both would not be surprising""",0.85,,,,,,,,
TN,Chattanooga News,143903,1938,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,1,,,"Paper supported: ""Five Democratic Congressmen favorable to New Deal will be reelected"" (McReynolds was D incumbent for H3, died 1939)",0.85,,,,,,,,
TN,Chattanooga News,143903,1924,PRESIDENT,,,TN,"DAVIS, JOHN W.",Democrat,1,,,,"Paper supported D ticket: ""John to John, is superior, and in our judgment the best ticket... democratic certainly is the agency for government and ought not to be allowed to die""",0.82,,,,,,,,
TN,Chattanooga News,143903,1924,PRESIDENT,,,TN,"COOLIDGE, CALVIN",Republican,0,,1,,"Paper opposed R incumbent (Coolidge was incumbent after Harding death): ""Coolidge has about as much... believes in human rights as compared with sodden things""",0.82,,,,,,,,
TN,Chattanooga News,143903,1924,PRESIDENT,,,TN,"LA FOLLETTE, ROBERT M.",Progressive,0,,,,"Third party candidate: paper noted ""those of the two old parties, and that of Senator La Follette""",0.82,,,,,,,,
TN,Chattanooga News,143903,1924,VICE PRESIDENT,,,TN,"BRYAN, CHARLES W.",Democrat,1,,,,"Running with Davis D, paper endorsed D ticket (""John to John"")",0.82,,,,,,,,
TN,Chattanooga News,143903,1924,VICE PRESIDENT,,,TN,"DAWES, CHARLES G.",Republican,0,,,,Running with Coolidge R,0.82,,,,,,,,
TN,Chattanooga News,143903,1928,PRESIDENT,,,TN,"HOOVER, HERBERT",Republican,1,,,,"CROSS-PARTY: Paper normally D-leaning but endorsed Hoover R in 1928. ""The Best Man"" editorial framed Smith D as falsely Jeffersonian Tammany (Murphy/Croker/Tweed), then gave long positive description of Hoover's career (Belgian relief, food administrator, Commerce Secretary, Mississippi flood relief).",0.80,,,,,,,,
TN,Chattanooga News,143903,1928,PRESIDENT,,,TN,"SMITH, ALFRED E.",Democrat,0,,,,"Paper opposed: ""It is not a Democratic campaign Gov. Smith has been waging, for all of the thin mask of the regularity of the Houston nomination. It is a temporarily Tammanyized party, appealing to the appetites, rather than to the principles, of the American people.""",0.80,,,,,,,,
TN,Chattanooga News,143903,1928,VICE PRESIDENT,,,TN,"CURTIS, CHARLES",Republican,1,,,,VP running with Hoover R,0.80,,,,,,,,
TN,Chattanooga News,143903,1928,VICE PRESIDENT,,,TN,"ROBINSON, JOSEPH T.",Democrat,0,,,,VP running with Smith D,0.80,,,,,,,,
TN,Chattanooga News,143903,1932,VICE PRESIDENT,,,TN,"GARNER, JOHN NANCE",Democrat,1,,,,VP running with FDR D,0.85,,,,,,,,
TN,Chattanooga News,143903,1932,VICE PRESIDENT,,,TN,"CURTIS, CHARLES",Republican,0,,1,,VP running with Hoover R; was Hoover's VP since 1929,0.85,,,,,,,,
TN,Chattanooga News,143903,1936,VICE PRESIDENT,,,TN,"GARNER, JOHN NANCE",Democrat,1,1,,,VP running with FDR D; Garner was VP incumbent since 1933,0.85,,,,,,,,
TN,Chattanooga News,143903,1936,VICE PRESIDENT,,,TN,"KNOX, FRANK",Republican,0,,,,VP running with Landon R,0.85,,,,,,,,
TN,Chattanooga News,143903,1932,GOVERNOR,,,TN,"MCALISTER, HILL",Democrat,1,,,,"Paper endorsed: ""belief that Mr. Hill McAlister should be chosen as Governor of Tennessee"" per image inspection (OCR failed)",0.82,,,,,,,,
TN,Chattanooga News,143903,1932,GOVERNOR,,,TN,"MCCALL, JOHN E.",Republican,0,,,,R challenger in three-cornered 1932 TN GOV race,0.82,,,,,,,,
TN,Chattanooga News,143903,1932,GOVERNOR,,,TN,"POPE, LEWIS",Independent,0,,,,Independent challenger in three-cornered 1932 TN GOV race (Pope also ran as independent in 1934),0.82,,,,,,,,
