folder_name,candidates_csv,propositions_csv,qa_date,qa_result
Anniston Star,Endorsement Archive/Alabama/Anniston Star/Anniston_Star_candidates.csv,Endorsement Archive/Alabama/Anniston Star/Anniston_Star_propositions.csv,2026-04-02,**PASS**
Chico Enterprise Record,Endorsement Archive/California/Chico Enterprise Record/101500_candidates.csv,Endorsement Archive/California/Chico Enterprise Record/101500_propositions.csv,2025-02-19,**PASS WITH FIXES**
Los Angeles Times,Endorsement Archive/California/Los Angeles Times/103000_candidates.csv,Endorsement Archive/California/Los Angeles Times/103000_propositions.csv,2026-04-04,PASS WITH FIXES
Oakland Tribune,Endorsement Archive/California/Oakland Tribune/103350_candidates.csv,Endorsement Archive/California/Oakland Tribune/103350_propositions.csv,April,**PASS WITH FIXES**
Santa Maria Times,Endorsement Archive/California/Santa Maria Times/104700_candidates.csv,Endorsement Archive/California/Santa Maria Times/104700_propositions.csv,2026-04-03,PASS WITH FIXES
Evansville Courier,Endorsement Archive/Indiana/Evansville Courier/113151_candidates.csv,,2026-04-02,**PASS WITH MINOR FIXES**
Evansville Press,Endorsement Archive/Indiana/Evansville Press/113152_candidates.csv,Endorsement Archive/Indiana/Evansville Press/113152_propositions.csv,April,**PASS WITH FIXES**
Akron Beacon Journal,Endorsement Archive/Ohio/Akron Beacon Journal/134150_candidates.csv,Endorsement Archive/Ohio/Akron Beacon Journal/134150_propositions.csv,April,**PASS WITH MINOR FIXES**
Aiken Standard,Endorsement Archive/South Carolina/Aiken Standard/143060_candidates.csv,Endorsement Archive/South Carolina/Aiken Standard/143060_propositions.csv,April,**PASS WITH FIXES**
Chattanooga_Times,Endorsement Archive/Tennessee/Chattanooga_Times/Chattanooga_Times_candidates.csv,Endorsement Archive/Tennessee/Chattanooga_Times/Chattanooga_Times_propositions.csv,2026-04-02,**PASS WITH FIXES**
Austin American,Endorsement Archive/Texas/Austin American/144701_candidates.csv,Endorsement Archive/Texas/Austin American/144701_propositions.csv,2026-04-04,"**PASS WITH FIXES.** Extensive corrections were required across all years. The most serious errors were a wrong presidential candidate (Nixon instead of Kennedy in 1960), a wrong endorsement direction (1970 Amendment 7), major underextraction in 1966 and 1970, and incorrect office coding for 1970 state representatives. All identifiable errors have been corrected. Three 1962 amendment records remain unverifiable at current scan resolution."
Austin American-Statesman,Endorsement Archive/Texas/Austin American-Statesman/144700_candidates.csv,Endorsement Archive/Texas/Austin American-Statesman/144700_propositions.csv,2026-04-02,**PASS WITH FIXES**
Austin Chronicle,Endorsement Archive/Texas/Austin Chronicle/AUSTIN CHRONICLE_NOID_candidates.csv,Endorsement Archive/Texas/Austin Chronicle/AUSTIN CHRONICLE_NOID_propositions.csv,2026-04-02,**PASS WITH FIXES**
Austin Statesman,Endorsement Archive/Texas/Austin Statesman/144702_candidates.csv,Endorsement Archive/Texas/Austin Statesman/144702_propositions.csv,2026-04-02,**PASS WITH FIXES**
El Paso Herald,Endorsement Archive/Texas/El Paso Herald/1284_candidates.csv,Endorsement Archive/Texas/El Paso Herald/1284_propositions.csv,2026-04-04,PASS WITH FIXES
El Paso Herald Post,Endorsement Archive/Texas/El Paso Herald Post/145301_candidates.csv,Endorsement Archive/Texas/El Paso Herald Post/145301_propositions.csv,2026-04-04,PASS WITH FIXES
El Paso Times,Endorsement Archive/Texas/El Paso Times/145300_candidates.csv,Endorsement Archive/Texas/El Paso Times/145300_propositions.csv,2026-04-04,PASS WITH FIXES
