filename,reason,type
128400_19381107,EDITORIAL ABOUT VOTING IMPORTANCE; CRITICIZES 'DEMOCRATIC STATE MACHINE' AND URGES INDEPENDENT/REPUBLICAN TURNOUT BUT NO SPECIFIC CANDIDATES.,no_endorsements
128400_19401028,EDITORIAL ABOUT UNDECIDED VOTERS; NO SPECIFIC CANDIDATE ENDORSEMENT IN CAPTURED OCR.,no_endorsements
128400_19401029,"EDITORIAL ABOUT YOUTH ANSWERING THE CALL; LETTER FROM READER, NOT AN ENDORSEMENT.",no_endorsements
128400_19421026,OCR YIELDED MOSTLY MASTHEAD/HEADER OR GENERIC EDITORIAL CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19421028,OCR YIELDED MOSTLY MASTHEAD/HEADER OR GENERIC EDITORIAL CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19421030,OCR YIELDED MOSTLY MASTHEAD/HEADER OR GENERIC EDITORIAL CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19421102,OCR YIELDED MOSTLY MASTHEAD/HEADER OR GENERIC EDITORIAL CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19441103,OCR YIELDED MOSTLY MASTHEAD; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE FROM CAPTURED TEXT.,no_endorsements
128400_19441104,OCR YIELDED MOSTLY MASTHEAD; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE FROM CAPTURED TEXT.,no_endorsements
128400_19461030,OCR YIELDED MASTHEAD/HEADER PRIMARILY.,no_endorsements
128400_19461102,MASTHEAD/HEADER ONLY.,no_endorsements
128400_19481028,EDITORIAL CONTENT NOT FULLY CAPTURED IN OCR; NO SPECIFIC ENDORSEMENT EXTRACTABLE.,no_endorsements
128400_19481029,EDITORIAL CONTENT NOT FULLY CAPTURED IN OCR; NO SPECIFIC ENDORSEMENT EXTRACTABLE.,no_endorsements
128400_19481030,EDITORIAL CONTENT NOT FULLY CAPTURED IN OCR; NO SPECIFIC ENDORSEMENT EXTRACTABLE.,no_endorsements
128400_19481101,EDITORIAL CONTENT NOT FULLY CAPTURED IN OCR; NO SPECIFIC ENDORSEMENT EXTRACTABLE.,no_endorsements
128400_19501026,OCR YIELDED LIMITED CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19501104,OCR YIELDED LIMITED CONTENT; NO SPECIFIC CANDIDATE ENDORSEMENTS EXTRACTABLE.,no_endorsements
128400_19521029,MASTHEAD/HEADER ONLY.,no_endorsements
128400_19541030,MASTHEAD/HEADER ONLY.,no_endorsements
128400_19561105,PLACEHOLDER CANDIDATE WITHOUT NAME REMOVED IN QA; CANDIDATE COULD NOT BE EXTRACTED FROM OCR.,no_endorsements
128400_19581031,OCR YIELDED LIMITED CONTENT.,no_endorsements
128400_19581101,OCR YIELDED LIMITED CONTENT.,no_endorsements
128400_19581103,OCR YIELDED LIMITED CONTENT.,no_endorsements
128400_19601108,ELECTION DAY EDITORIAL ABOUT NEWSPAPER POLITICAL INDEPENDENCE; NO SPECIFIC CANDIDATE ENDORSEMENT.,no_endorsements
128400_19641030,OCR YIELDED LIMITED CONTENT; FURTHER 1964 EDITORIALS NOT FULLY EXTRACTABLE.,no_endorsements
128400_19641031,OCR YIELDED LIMITED CONTENT; FURTHER 1964 EDITORIALS NOT FULLY EXTRACTABLE.,no_endorsements
128400_19641102,OCR YIELDED LIMITED CONTENT; FURTHER 1964 EDITORIALS NOT FULLY EXTRACTABLE.,no_endorsements
128400_19641103,OCR YIELDED LIMITED CONTENT; FURTHER 1964 EDITORIALS NOT FULLY EXTRACTABLE.,no_endorsements
128400_19641103_v2,OCR YIELDED LIMITED CONTENT; FURTHER 1964 EDITORIALS NOT FULLY EXTRACTABLE.,no_endorsements
128400_19661105,REMINDER TO VOTE EDITORIAL; ENDORSEMENTS CAPTURED IN 19661107 WRAP-UP.,no_endorsements
128400_19681030,LEGISLATIVE EDITORIAL; CONSOLIDATED INTO 19681104 WRAP-UP.,no_endorsements
128400_19701027,DAILY EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19701102 WRAP-UP.,no_endorsements
128400_19701028,DAILY EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19701102 WRAP-UP.,no_endorsements
128400_19701030,DAILY EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19701102 WRAP-UP.,no_endorsements
128400_19721030,PLACEHOLDER CANDIDATE WITHOUT NAME REMOVED IN QA; CANDIDATE COULD NOT BE EXTRACTED FROM OCR.,no_endorsements
128400_19721103,OCR YIELDED LIMITED CONTENT.,no_endorsements
128400_19721106,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
