state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Abilene Reporter-News,144600,1960,PRESIDENT,,,TX,"KENNEDY, JOHN F",Democrat,1,,,,Editorial 'The Reasons for Political Stand' — 'We are for Jack Kennedy and Lyndon Johnson. Period.' Praises leadership and ability to restore prestige.,0.98
TX,Abilene Reporter-News,144600,1960,VICE PRESIDENT,,,TX,"JOHNSON, LYNDON",Democrat,1,,,,Editorial 'The Reasons for Political Stand' — 'We are for Jack Kennedy and Lyndon Johnson. Period.',0.98
TX,Abilene Reporter-News,144600,1962,ATTORNEY GENERAL,,,TX,"CARR, WAGGONER",Democrat,1,,,,"Editorial 'For Connally, Smith and Carr' — five terms in House, twice Speaker; 'eminently qualified to be Attorney General.'",0.98
TX,Abilene Reporter-News,144600,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,Editorial 'Fit Him for Governorship' — 'Seldom does a man of the quality of John Connally offer himself for the governorship of Texas.' Compares him to Jim Hogg as greatest leadership.,0.98
TX,Abilene Reporter-News,144600,1962,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,"Editorial 'For Connally, Smith and Carr' — Smith 'served six years in the House (1944-1950) and six years in the State Senate (1956-1962)'; only candidate qualified by experience.",0.98
TX,Abilene Reporter-News,144600,1964,ATTORNEY GENERAL,,,TX,"CARR, WAGGONER",Democrat,1,1,,,"Editorial 'Connally, Smith, Carr, Langdon Due Reelection' — 'Carr is building a distinguished career in public service.' Has demonstrated qualities admirably as state's chief legal officer.",0.98
TX,Abilene Reporter-News,144600,1964,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,1,,,"Editorial 'Connally, Smith, Carr, Langdon Due Reelection' — 'John Connally has made a good governor' with 'foresight, vision, a depth of perception for problems and with a quality of leadership that have set him apart.'",0.98
TX,Abilene Reporter-News,144600,1964,H,17,,TX,"BURLESON, OMAR",Democrat,1,1,,,"Editorial 'Cong. Omar Burleson' — 'Since 1947 Omar Burleson of Anson has represented the 17th District in Congress.' Seeking 10th term. 'Rep. Burleson is high in seniority in the House, and serves as chairman of the Administration Committee and a member of the Foreign Affairs Committee. The Reporter-News urges his reelection.'",0.98
TX,Abilene Reporter-News,144600,1964,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,"Editorial 'Connally, Smith, Carr, Langdon Due Reelection' — 'Preston Smith and Waggoner Carr not only have compiled excellent records of their own, but they compose an effective team with Connally that has given our state government an unusual degree of leadership.'",0.98
TX,Abilene Reporter-News,144600,1964,PRESIDENT,,,TX,"JOHNSON, LYNDON B",Democrat,1,1,,,"Editorial 'Presidency in Good Hands With Johnson' — Johnson 'has been President of the United States for almost 11 months. He has been a good one. He should be continued.' Praises prosperity, civil rights law, and judgment vs. Goldwater.",0.98
